2019-10-16 13:35:37 status installed gnome-menus:amd64 3.32.0-1ubuntu1
2019-10-16 13:35:37 trigproc libc-bin:amd64 2.29-0ubuntu2 <ninguna>
2019-10-16 13:35:37 status half-configured libc-bin:amd64 2.29-0ubuntu2
2019-10-16 13:35:37 status installed libc-bin:amd64 2.29-0ubuntu2
2019-10-16 13:35:37 trigproc man-db:amd64 2.8.5-2 <ninguna>
2019-10-16 13:35:37 status half-configured man-db:amd64 2.8.5-2
2019-10-16 13:35:40 status installed man-db:amd64 2.8.5-2
2019-10-16 13:35:40 trigproc bamfdaemon:amd64 0.5.3+18.04.20180207.2-0ubuntu1 <ninguna>
2019-10-16 13:35:40 status half-configured bamfdaemon:amd64 0.5.3+18.04.20180207.2-0ubuntu1
2019-10-16 13:35:40 status installed bamfdaemon:amd64 0.5.3+18.04.20180207.2-0ubuntu1
2019-10-16 13:35:47 startup archives unpack
2019-10-16 13:35:47 upgrade python3.7:amd64 3.7.3-2ubuntu0.1 3.7.3-2ubuntu0.2
2019-10-16 13:35:47 status half-configured python3.7:amd64 3.7.3-2ubuntu0.1
2019-10-16 13:35:47 status unpacked python3.7:amd64 3.7.3-2ubuntu0.1
2019-10-16 13:35:47 status half-installed python3.7:amd64 3.7.3-2ubuntu0.1
2019-10-16 13:35:47 status triggers-pending bamfdaemon:amd64 0.5.3+18.04.20180207.2-0ubuntu1
2019-10-16 13:35:47 status triggers-pending gnome-menus:amd64 3.32.0-1ubuntu1
2019-10-16 13:35:48 status triggers-pending desktop-file-utils:amd64 0.23-4ubuntu1
2019-10-16 13:35:48 status triggers-pending mime-support:all 3.60ubuntu1
2019-10-16 13:35:48 status triggers-pending man-db:amd64 2.8.5-2
2019-10-16 13:35:48 status unpacked python3.7:amd64 3.7.3-2ubuntu0.2
2019-10-16 13:35:48 upgrade libpython3.7:amd64 3.7.3-2ubuntu0.1 3.7.3-2ubuntu0.2
2019-10-16 13:35:48 status triggers-pending libc-bin:amd64 2.29-0ubuntu2
2019-10-16 13:35:48 status half-configured libpython3.7:amd64 3.7.3-2ubuntu0.1
2019-10-16 13:35:48 status unpacked libpython3.7:amd64 3.7.3-2ubuntu0.1
2019-10-16 13:35:48 status half-installed libpython3.7:amd64 3.7.3-2ubuntu0.1
2019-10-16 13:35:48 status unpacked libpython3.7:amd64 3.7.3-2ubuntu0.2
2019-10-16 13:35:48 upgrade libpython3.7-stdlib:amd64 3.7.3-2ubuntu0.1 3.7.3-2ubuntu0.2
2019-10-16 13:35:48 status half-configured libpython3.7-stdlib:amd64 3.7.3-2ubuntu0.1
2019-10-16 13:35:48 status unpacked libpython3.7-stdlib:amd64 3.7.3-2ubuntu0.1
2019-10-16 13:35:48 status half-installed libpython3.7-stdlib:amd64 3.7.3-2ubuntu0.1
2019-10-16 13:35:49 status unpacked libpython3.7-stdlib:amd64 3.7.3-2ubuntu0.2
2019-10-16 13:35:49 upgrade python3.7-minimal:amd64 3.7.3-2ubuntu0.1 3.7.3-2ubuntu0.2
2019-10-16 13:35:49 status half-configured python3.7-minimal:amd64 3.7.3-2ubuntu0.1
2019-10-16 13:35:49 status unpacked python3.7-minimal:amd64 3.7.3-2ubuntu0.1
2019-10-16 13:35:49 status half-installed python3.7-minimal:amd64 3.7.3-2ubuntu0.1
2019-10-16 13:35:49 status unpacked python3.7-minimal:amd64 3.7.3-2ubuntu0.2
2019-10-16 13:35:49 upgrade libpython3.7-minimal:amd64 3.7.3-2ubuntu0.1 3.7.3-2ubuntu0.2
2019-10-16 13:35:49 status half-configured libpython3.7-minimal:amd64 3.7.3-2ubuntu0.1
2019-10-16 13:35:50 status unpacked libpython3.7-minimal:amd64 3.7.3-2ubuntu0.1
2019-10-16 13:35:50 status half-installed libpython3.7-minimal:amd64 3.7.3-2ubuntu0.1
2019-10-16 13:35:50 status unpacked libpython3.7-minimal:amd64 3.7.3-2ubuntu0.2
2019-10-16 13:35:50 startup packages configure
2019-10-16 13:35:50 configure libpython3.7-minimal:amd64 3.7.3-2ubuntu0.2 <ninguna>
2019-10-16 13:35:50 status unpacked libpython3.7-minimal:amd64 3.7.3-2ubuntu0.2
2019-10-16 13:35:50 status half-configured libpython3.7-minimal:amd64 3.7.3-2ubuntu0.2
2019-10-16 13:35:50 status installed libpython3.7-minimal:amd64 3.7.3-2ubuntu0.2
2019-10-16 13:35:50 configure python3.7-minimal:amd64 3.7.3-2ubuntu0.2 <ninguna>
2019-10-16 13:35:50 status unpacked python3.7-minimal:amd64 3.7.3-2ubuntu0.2
2019-10-16 13:35:50 status half-configured python3.7-minimal:amd64 3.7.3-2ubuntu0.2
2019-10-16 13:35:51 status installed python3.7-minimal:amd64 3.7.3-2ubuntu0.2
2019-10-16 13:35:51 configure libpython3.7-stdlib:amd64 3.7.3-2ubuntu0.2 <ninguna>
2019-10-16 13:35:51 status unpacked libpython3.7-stdlib:amd64 3.7.3-2ubuntu0.2
2019-10-16 13:35:51 status half-configured libpython3.7-stdlib:amd64 3.7.3-2ubuntu0.2
2019-10-16 13:35:51 status installed libpython3.7-stdlib:amd64 3.7.3-2ubuntu0.2
2019-10-16 13:35:51 configure libpython3.7:amd64 3.7.3-2ubuntu0.2 <ninguna>
2019-10-16 13:35:51 status unpacked libpython3.7:amd64 3.7.3-2ubuntu0.2
2019-10-16 13:35:51 status half-configured libpython3.7:amd64 3.7.3-2ubuntu0.2
2019-10-16 13:35:51 status installed libpython3.7:amd64 3.7.3-2ubuntu0.2
2019-10-16 13:35:51 configure python3.7:amd64 3.7.3-2ubuntu0.2 <ninguna>
2019-10-16 13:35:51 status unpacked python3.7:amd64 3.7.3-2ubuntu0.2
2019-10-16 13:35:51 status half-configured python3.7:amd64 3.7.3-2ubuntu0.2
2019-10-16 13:35:52 status installed python3.7:amd64 3.7.3-2ubuntu0.2
2019-10-16 13:35:52 trigproc desktop-file-utils:amd64 0.23-4ubuntu1 <ninguna>
2019-10-16 13:35:52 status half-configured desktop-file-utils:amd64 0.23-4ubuntu1
2019-10-16 13:35:52 status installed desktop-file-utils:amd64 0.23-4ubuntu1
2019-10-16 13:35:52 trigproc mime-support:all 3.60ubuntu1 <ninguna>
2019-10-16 13:35:52 status half-configured mime-support:all 3.60ubuntu1
2019-10-16 13:35:53 status installed mime-support:all 3.60ubuntu1
2019-10-16 13:35:53 trigproc gnome-menus:amd64 3.32.0-1ubuntu1 <ninguna>
2019-10-16 13:35:53 status half-configured gnome-menus:amd64 3.32.0-1ubuntu1
2019-10-16 13:35:53 status installed gnome-menus:amd64 3.32.0-1ubuntu1
2019-10-16 13:35:53 trigproc libc-bin:amd64 2.29-0ubuntu2 <ninguna>
2019-10-16 13:35:53 status half-configured libc-bin:amd64 2.29-0ubuntu2
2019-10-16 13:35:53 status installed libc-bin:amd64 2.29-0ubuntu2
2019-10-16 13:35:53 trigproc man-db:amd64 2.8.5-2 <ninguna>
2019-10-16 13:35:53 status half-configured man-db:amd64 2.8.5-2
2019-10-16 13:35:56 status installed man-db:amd64 2.8.5-2
2019-10-16 13:35:56 trigproc bamfdaemon:amd64 0.5.3+18.04.20180207.2-0ubuntu1 <ninguna>
2019-10-16 13:35:56 status half-configured bamfdaemon:amd64 0.5.3+18.04.20180207.2-0ubuntu1
2019-10-16 13:35:56 status installed bamfdaemon:amd64 0.5.3+18.04.20180207.2-0ubuntu1
2019-10-16 13:36:02 startup archives unpack
2019-10-16 13:36:02 upgrade gir1.2-soup-2.4:amd64 2.66.1-1 2.66.1-1ubuntu0.1
2019-10-16 13:36:02 status half-configured gir1.2-soup-2.4:amd64 2.66.1-1
2019-10-16 13:36:02 status unpacked gir1.2-soup-2.4:amd64 2.66.1-1
2019-10-16 13:36:02 status half-installed gir1.2-soup-2.4:amd64 2.66.1-1
